2.55, 0.127292, 0.235489, 0.327448, 0.405637, 0.52868, 0.682639, 0.778606, 0.847648, 0.878806
2.6, 0.127588, 0.236054, 0.328259, 0.406669, 0.530086, 0.684564, 0.780862, 0.850051, 0.881073
2.65, 0.127873, 0.236597, 0.329039, 0.407662, 0.531441, 0.686419, 0.783037, 0.852367, 0.883256
2.7, 0.128148, 0.23712, 0.329791, 0.408618, 0.532745, 0.688207, 0.785135, 0.854601, 0.88536
2.75, 0.128412, 0.237625, 0.330515, 0.40954, 0.534003, 0.689931, 0.787158, 0.856757, 0.887389
2.8, 0.128667, 0.238111, 0.331214, 0.410429, 0.535217, 0.691596, 0.789112, 0.858839, 0.889347
2.85, 0.128913, 0.238581, 0.331888, 0.411287, 0.536389, 0.693203, 0.791, 0.86085, 0.891238
2.9, 0.12915, 0.239034, 0.332539, 0.412116, 0.537521, 0.694756, 0.792825, 0.862795, 0.893065
2.95, 0.129379, 0.239472, 0.333168, 0.412917, 0.538615, 0.696258, 0.79459, 0.864677, 0.894832
3, 0.1296, 0.239895, 0.333776, 0.413692, 0.539673, 0.697711, 0.796298, 0.866498, 0.896541
