0.05, 7.83207e-52
0.1, 1.06119e-48
0.15, 2.64332e-45
0.2, 1.31885e-41
0.25, 1.4745e-37
0.3, 4.31637e-33
0.35, 4.16136e-28
0.4, 1.91789e-22
0.45, 8.6315e-16
0.5, 1.84441e-07
0.55, 0.00144758
0.6, 0.00295322
0.65, 0.00421549
0.7, 0.00531594
0.75, 0.00628061
0.8, 0.00711201
0.85, 0.00784783
0.9, 0.00849278
0.95, 0.0090774
1, 0.00961125
1.05, 0.0100875
1.1, 0.0105204
1.15, 0.0109156
1.2, 0.0112778
1.25, 0.0116111
1.3, 0.0119187
1.35, 0.0122035
1.4, 0.012468
1.45, 0.0127142
1.5, 0.0129441
1.55, 0.013159
1.6, 0.0133606
1.65, 0.0135499
1.7, 0.0137281
1.75, 0.0138961
1.8, 0.0140548
1.85, 0.0142049
1.9, 0.0143471
1.95, 0.0144778
2, 0.0146052
2.05, 0.0147273
2.1, 0.0148434
2.15, 0.0149542
2.2, 0.01506
2.25, 0.015161
2.3, 0.0152577
2.35, 0.0153502
2.4, 0.0154421
2.45, 0.0155287
2.5, 0.0156103
