2, 0.0647481, 0.103542, 0.123069
4, 0.117362, 0.190262, 0.227424
6, 0.160344, 0.262892, 0.315883
8, 0.195666, 0.323834, 0.390931
10, 0.224895, 0.375043, 0.454603
12, 0.249265, 0.418165, 0.508659
14, 0.269743, 0.45456, 0.554592
16, 0.287084, 0.485377, 0.593675
18, 0.301884, 0.511556, 0.626944
20, 0.314608, 0.533879, 0.655322
22, 0.325627, 0.552989, 0.679571
24, 0.335236, 0.569411, 0.700333
26, 0.343669, 0.5836, 0.718149
28, 0.351115, 0.595907, 0.733473
30, 0.357727, 0.606628, 0.746686
32, 0.36363, 0.616012, 0.758111
34, 0.368926, 0.624261, 0.767987
36, 0.373699, 0.631546, 0.776616
38, 0.378021, 0.638007, 0.784145
40, 0.381949, 0.643762, 0.790736
42, 0.385532, 0.648909, 0.796525
44, 0.388813, 0.65353, 0.801626
46, 0.391827, 0.657698, 0.806137
48, 0.394605, 0.66147, 0.810139
50, 0.397171, 0.664894, 0.813702
52, 0.399549, 0.668017, 0.816885
54, 0.401759, 0.670873, 0.819738
56, 0.403815, 0.673491, 0.822304
58, 0.405735, 0.675898, 0.82462
60, 0.407532, 0.678118, 0.826716
62, 0.409215, 0.68017, 0.82862
64, 0.410795, 0.682074, 0.830354
66, 0.412282, 0.68384, 0.831939
68, 0.413683, 0.685487, 0.833393
70, 0.415006, 0.687021, 0.834732
72, 0.416256, 0.688457, 0.83598
74, 0.41744, 0.689802, 0.837151
76, 0.418562, 0.691063, 0.838236
78, 0.419627, 0.692249, 0.839239
80, 0.420639, 0.693367, 0.84017
82, 0.421603, 0.694421, 0.841029
84, 0.422521, 0.695417, 0.841813
86, 0.423396, 0.696358, 0.842547
88, 0.424233, 0.697249, 0.843236
90, 0.425032, 0.698093, 0.843882
92, 0.425796, 0.698896, 0.84449
94, 0.426528, 0.699659, 0.845064
96, 0.427229, 0.700386, 0.845606
98, 0.427902, 0.70108, 0.846119
100, 0.428548, 0.701741, 0.846605
